Ref,Val,Package,PosX,PosY,Rot,Side
"BSW1","BOOT","SW_TS04-66-50-BK-260-SMT",149.047500,-48.935000,180.000000,bottom
"BSW2","RESETSW","SW_TS04-66-50-BK-260-SMT",149.067500,-59.115000,180.000000,bottom
"C1","0.1uF","C_0603_1608Metric",89.225000,-61.775000,-90.000000,bottom
"C2","10uF","C_0805_2012Metric",92.195000,-61.995000,-90.000000,bottom
"C5","0.1uF","C_0603_1608Metric",89.045000,-45.815000,-90.000000,bottom
"C6","0.1uF","C_0603_1608Metric",122.365000,-58.885000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric",122.330000,-60.705000,180.000000,bottom
"C8","4.7uF","C_1206_3216Metric",103.765000,-53.035000,-90.000000,bottom
"C9","0.1uF","C_0603_1608Metric",107.285000,-53.710000,-90.000000,bottom
"C10","4.7uF","C_1206_3216Metric",97.035000,-52.915000,90.000000,bottom
"C11","0.1uF","C_0603_1608Metric",100.405000,-53.535000,90.000000,bottom
"C12","0.1uF","C_0603_1608Metric",102.045000,-59.850000,90.000000,bottom
"C13","4.7uF","C_1206_3216Metric",99.365000,-59.110000,90.000000,bottom
"C14","1uF","C_0805_2012Metric",135.095000,-109.915000,-90.000000,bottom
"C15","0.1uF","C_0603_1608Metric",125.085000,-98.795000,90.000000,bottom
"C16","0.1uF","C_0603_1608Metric",126.565000,-113.125000,-90.000000,bottom
"C17","1uF","C_0805_2012Metric",116.035000,-101.145000,180.000000,bottom
"C18","0.1uF","C_0603_1608Metric",115.980000,-107.735000,180.000000,bottom
"C19","0.1uF","C_0603_1608Metric",116.045000,-104.615000,180.000000,bottom
"C20","0.1uF","C_0603_1608Metric",123.405000,-98.790000,90.000000,bottom
"C21","0.1uF","C_0603_1608Metric",131.555000,-105.135000,0.000000,bottom
"C22","0.1uF","C_0603_1608Metric",131.565000,-106.775000,0.000000,bottom
"C23","0.1uF","C_0603_1608Metric",130.145000,-109.315000,0.000000,bottom
"C24","0.1uF","C_0603_1608Metric",124.905000,-113.115000,-90.000000,bottom
"C25","0.1uF","C_0603_1608Metric",97.420000,-109.205000,180.000000,bottom
"C26","18pF","C_0603_1608Metric",139.375000,-100.275000,180.000000,bottom
"C27","18pF","C_0603_1608Metric",139.415000,-102.095000,180.000000,bottom
"D1","1N4148W","D_SOD-123",89.995000,-72.175000,180.000000,bottom
"D2","1N4148W","D_SOD-123",109.035000,-72.005000,180.000000,bottom
"D3","1N4148W","D_SOD-123",127.955000,-71.875000,180.000000,bottom
"D4","1N4148W","D_SOD-123",147.165000,-71.765000,180.000000,bottom
"D5","1N4148W","D_SOD-123",95.347500,-85.865000,0.000000,bottom
"D6","1N4148W","D_SOD-123",114.295000,-85.755000,0.000000,bottom
"D7","1N4148W","D_SOD-123",133.285000,-85.745000,0.000000,bottom
"D8","1N4148W","D_SOD-123",152.847500,-85.615000,0.000000,bottom
"D9","1N4148W","D_SOD-123",94.765000,-123.565000,180.000000,bottom
"D10","1N4148W","D_SOD-123",114.442500,-123.685000,180.000000,bottom
"D11","1N4148W","D_SOD-123",133.025000,-123.895000,180.000000,bottom
"D12","1N4148W","D_SOD-123",152.765000,-123.905000,180.000000,bottom
"D13","1N4148W","D_SOD-123",101.535000,-139.555000,180.000000,bottom
"D14","1N4148W","D_SOD-123",121.032500,-139.755000,180.000000,bottom
"D15","1N4148W","D_SOD-123",139.812500,-139.825000,180.000000,bottom
"D16","1N4148W","D_SOD-123",158.965000,-140.025000,180.000000,bottom
"FB1","120","R_0603_1608Metric",91.865000,-52.475000,0.000000,bottom
"J1","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",160.395000,-49.325000,180.000000,bottom
"R5","27","R_0603_1608Metric",122.335000,-65.045000,180.000000,bottom
"R6","27","R_0603_1608Metric",122.320000,-63.155000,180.000000,bottom
"R7","DNF","R_0603_1608Metric",97.350000,-106.315000,180.000000,bottom
"R8","1k","R_0603_1608Metric",139.870000,-51.515000,180.000000,bottom
"R9","10k","R_0603_1608Metric",140.435000,-62.385000,90.000000,bottom
"R10","2.2k","R_0603_1608Metric",146.915000,-42.905000,90.000000,bottom
"R11","2.2k","R_0603_1608Metric",149.545000,-42.910000,90.000000,bottom
"U1","SL2.1A","SO16",112.755000,-60.595000,-90.000000,bottom
"U2","AZ1117-3.3","SOT-223-3_TabPin2",130.185000,-61.365000,0.000000,bottom
"U3","RP2040","RP2040-QFN-56",123.855000,-105.405000,0.000000,bottom
"U4","W25Q16JVSS","SOIC-8_5.3x5.3mm_P1.27mm",103.545000,-105.745000,-90.000000,bottom
"Y2","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",134.595000,-101.365000,180.000000,bottom
"C3","0.1uF","C_0603_1608Metric",131.175000,-51.635000,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",112.285000,-51.495000,-90.000000,top
"J2","USB_A_v2","3210W1BCE",131.125000,-47.745000,180.000000,top
"J3","USB_A_v2","3210W1BCE",112.365000,-47.745000,180.000000,top
"J4","USB_C_Receptacle_USB2.0_16P_V2","CONN_8p94X6p5X3p16_12L_GCC",83.392083,-55.455000,-90.000000,top
"J5","USB_C_Receptacle_USB2.0_16P_V2","CONN_8p94X6p5X3p16_12L_GCC",92.425000,-37.425000,180.000000,top
"OL1","OLED","128x64OLED",150.525000,-49.745000,0.000000,top
"R1","5.1k","R_0603_1608Metric",92.315000,-53.345000,0.000000,top
"R2","5.1k","R_0603_1608Metric",92.345000,-57.265000,0.000000,top
"R3","56k","R_0603_1608Metric",93.645000,-48.465000,-90.000000,top
"R4","56k","R_0603_1608Metric",90.765000,-48.465000,-90.000000,top
"SW1","SW_PUSH","CherryMX_Hotswap_via_1U",95.250000,-76.120000,180.000000,top
"SW2","SW_PUSH","CherryMX_Hotswap_via_1U",114.300000,-76.200000,180.000000,top
"SW3","SW_PUSH","CherryMX_Hotswap_via_1U",133.350000,-76.200000,180.000000,top
"SW4","SW_PUSH","CherryMX_Hotswap_via_1U",152.400000,-76.200000,180.000000,top
"SW5","SW_PUSH","CherryMX_Hotswap_via_1U",95.250000,-95.250000,0.000000,top
"SW6","SW_PUSH","CherryMX_Hotswap_via_1U",114.300000,-95.250000,0.000000,top
"SW7","SW_PUSH","CherryMX_Hotswap_via_1U",133.350000,-95.250000,0.000000,top
"SW8","SW_PUSH","CherryMX_Hotswap_via_1U",152.400000,-95.250000,0.000000,top
"SW9","SW_PUSH","CherryMX_Hotswap_via_1U",95.250000,-114.300000,180.000000,top
"SW10","SW_PUSH","CherryMX_Hotswap_via_1U",114.300000,-114.300000,180.000000,top
"SW11","SW_PUSH","CherryMX_Hotswap_via_1U",133.350000,-114.300000,180.000000,top
"SW12","SW_PUSH","CherryMX_Hotswap_via_1U",152.400000,-114.300000,180.000000,top
"SW13","SW_PUSH","CherryMX_Hotswap_via_1U",95.250000,-133.350000,0.000000,top
"SW14","SW_PUSH","CherryMX_Hotswap_via_1U",114.300000,-133.350000,0.000000,top
"SW15","SW_PUSH","CherryMX_Hotswap_via_1U",133.350000,-133.350000,0.000000,top
"SW16","SW_PUSH","CherryMX_Hotswap_via_1U",152.400000,-133.350000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",102.965000,-56.655000,0.000000,top
