Designator,Mid X,Mid Y,Rotation,Layer
3.3V,160.38,-49.465,0.0,bottom
BSW1,149.0475,-48.935,0.0,bottom
BSW2,149.0675,-59.115,0.0,bottom
C1,89.225,-61.775,270.0,bottom
C10,100.085,-56.765,0.0,bottom
C11,100.915,-59.355,0.0,bottom
C12,100.895,-61.555,0.0,bottom
C13,100.14,-64.175,0.0,bottom
C14,135.095,-109.915,270.0,bottom
C15,125.085,-98.795,90.0,bottom
C16,126.565,-113.125,270.0,bottom
C17,116.035,-101.145,0.0,bottom
C18,115.98,-107.735,0.0,bottom
C19,116.045,-104.615,0.0,bottom
C2,92.195,-61.995,270.0,bottom
C20,123.405,-98.79,90.0,bottom
C21,131.555,-105.135,180.0,bottom
C22,131.565,-106.775,180.0,bottom
C23,130.145,-109.315,180.0,bottom
C24,124.905,-113.115,270.0,bottom
C25,97.42,-109.205,0.0,bottom
C26,139.375,-100.275,0.0,bottom
C27,139.415,-102.095,0.0,bottom
C3,131.155,-51.315,270.0,bottom
C4,115.765,-52.075,270.0,bottom
C5,87.435,-45.895,270.0,bottom
C6,122.365,-58.885,0.0,bottom
C7,122.33,-60.705,0.0,bottom
C8,102.945,-52.485,270.0,bottom
C9,106.165,-55.595,270.0,bottom
D1,89.995,-72.175,0.0,bottom
D10,114.4425,-123.685,0.0,bottom
D11,133.025,-123.895,0.0,bottom
D12,152.765,-123.905,0.0,bottom
D13,101.535,-139.555,0.0,bottom
D14,121.0325,-139.755,0.0,bottom
D15,139.8125,-139.825,0.0,bottom
D16,158.965,-140.025,0.0,bottom
D2,109.035,-72.005,0.0,bottom
D3,127.955,-71.875,0.0,bottom
D4,147.165,-71.765,0.0,bottom
D5,95.3475,-85.865,180.0,bottom
D6,114.295,-85.755,180.0,bottom
D7,133.285,-85.745,180.0,bottom
D8,152.8475,-85.615,180.0,bottom
D9,94.765,-123.565,0.0,bottom
FB1,91.845,-51.505,180.0,bottom
GND,160.38,-54.525,0.0,bottom
J2,127.625,-45.8725,180.0,top
J3,108.865,-45.8725,180.0,top
J4,83.392083,-55.455,270.0,top
J5,92.425,-37.425,180.0,top
OL1,150.715,-39.145,0.0,top
R1,93.885,-54.385,180.0,bottom
R10,146.915,-42.905,90.0,bottom
R11,149.545,-42.91,90.0,bottom
R2,93.795,-57.115,180.0,bottom
R3,93.025,-48.725,270.0,bottom
R4,90.015,-48.755,270.0,bottom
R5,122.335,-65.045,0.0,bottom
R6,122.32,-63.155,0.0,bottom
R7,97.35,-106.315,0.0,bottom
R8,139.87,-51.515,0.0,bottom
R9,140.435,-62.385,90.0,bottom
RESET,160.385,-59.615,0.0,bottom
SW1,95.885,-78.385,180.0,top
SW10,114.935,-116.565,180.0,top
SW11,133.985,-116.565,180.0,top
SW12,153.035,-116.565,180.0,top
SW13,94.615,-131.085,0.0,top
SW14,113.665,-131.085,0.0,top
SW15,132.715,-131.085,0.0,top
SW16,151.765,-131.085,0.0,top
SW2,114.935,-78.465,180.0,top
SW3,133.985,-78.465,180.0,top
SW4,153.035,-78.465,180.0,top
SW5,94.615,-92.985,0.0,top
SW6,113.665,-92.985,0.0,top
SW7,132.715,-92.985,0.0,top
SW8,151.765,-92.985,0.0,top
SW9,95.885,-116.565,180.0,top
SWCLK,160.38,-57.085,0.0,bottom
SWDIO,160.38,-52.0,0.0,bottom
U1,112.755,-60.595,270.0,bottom
U2,130.185,-61.365,0.0,bottom
U3,123.855,-105.405,180.0,bottom
U4,103.545,-105.745,180.0,bottom
Y1,111.585,-52.175,180.0,bottom
Y2,134.595,-101.365,0.0,bottom
